patient_id,image_id,pixel_foreground,total_pixel
1769.jpg,1769.jpg,11649,151866
1723.jpg,1723.jpg,21601,115920
1815.jpg,1815.jpg,32754,94053
1879.jpg,1879.jpg,60819,158678
1836.jpg,1836.jpg,1916,144768
1757.jpg,1757.jpg,8868,124122
1931.jpg,1931.jpg,19396,133812
1944.jpg,1944.jpg,5439,92730
1825.jpg,1825.jpg,54594,157824
1890.jpg,1890.jpg,7619,128152
1914.jpg,1914.jpg,33221,136606
1884.jpg,1884.jpg,13443,134045
1841.jpg,1841.jpg,41033,138096
1955.jpg,1955.jpg,9020,157320
1771.jpg,1771.jpg,170030,1127973
1794.jpg,1794.jpg,23997,160860
1953.jpg,1953.jpg,26208,107520
1948.jpg,1948.jpg,26020,104832
1787.jpg,1787.jpg,30504,134480
1788.jpg,1788.jpg,57832,92925
1842.jpg,1842.jpg,45096,123615
1859.jpg,1859.jpg,7267,117648
1806.jpg,1806.jpg,19299,81468
1853.jpg,1853.jpg,861,148086
1863.jpg,1863.jpg,1640,133334
1752.jpg,1752.jpg,23408,204281
1923.jpg,1923.jpg,6483,169026
1881.jpg,1881.jpg,14484,113560
1734.jpg,1734.jpg,2476,142460
1763.jpg,1763.jpg,6674,103700
1834.jpg,1834.jpg,8054,134480
1755.jpg,1755.jpg,12092,79222
1767.jpg,1767.jpg,10117,160210
1730.jpg,1730.jpg,39325,122470
1748.jpg,1748.jpg,12534,159676
1950.jpg,1950.jpg,49521,136606
1721.jpg,1721.jpg,45485,102025
1779.jpg,1779.jpg,53511,137760
1719.jpg,1719.jpg,24145,171492
1851.jpg,1851.jpg,39206,184125
1947.jpg,1947.jpg,6418,123496
1937.jpg,1937.jpg,22062,139469
1839.jpg,1839.jpg,2992,107559
1864.jpg,1864.jpg,2702,101361
1753.jpg,1753.jpg,44488,124509
1899.jpg,1899.jpg,22358,138610
1943.jpg,1943.jpg,144185,801381
1911.jpg,1911.jpg,52257,137274
1810.jpg,1810.jpg,22280,65190
1808.jpg,1808.jpg,7670,114570
1795.jpg,1795.jpg,77242,159418
1822.jpg,1822.jpg,35754,142002
1951.jpg,1951.jpg,48974,138355
1900.jpg,1900.jpg,57559,135378
1918.jpg,1918.jpg,32950,137780
1941.jpg,1941.jpg,20273,81787
1802.jpg,1802.jpg,10188,158360
1773.jpg,1773.jpg,4360,129344
